col_X,pattern_X,match_type_X,col_Y,pattern_Y,match_type_Y,confidence,n_matching_X,n_valid,n_violations,epsilon,generalized_from
Full Name,Hun,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Full Name,Lar,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Full Name,Lyn,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Full Name,Mcg,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Full Name,Mcn,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Full Name,Pay,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Full Name,Pau,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Full Name,Pie,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Full Name,Por,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Full Name,Ren,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Full Name,Rie,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Full Name,Rom,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Full Name,Sil,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Full Name,Sin,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Full Name,Sol,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Full Name,Sum,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Full Name,Curry,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Full Name,Ellis,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Full Name,Kane,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Full Name,Matthews,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Full Name,Wallace,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Full Name,Watkins,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Full Name,Russell,startswith,Gender,M,exact,1.0,8,8,0,0.0,1
Position Title,Rea,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Position Title,Chief,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Position Title,Legal,startswith,Assignment Category,Fulltime-Regular,exact,1.0,8,8,0,0.0,1
Position Title,Mail,startswith,Department,DGS,exact,1.0,8,8,0,0.0,1
Position Title,Mail,startswith,Department Name,Department of General Services,exact,1.0,8,8,0,0.0,1
Position Title,Mail,startswith,Division,Central Duplicating,exact,1.0,8,8,0,0.0,1
Position Title,Legal,startswith,Gender,F,exact,1.0,8,8,0,0.0,1
Underfilled Job Title,Eq,startswith,Department,DOT,exact,1.0,8,8,0,0.0,1
Underfilled Job Title,Transportation,startswith,Department,DOT,exact,1.0,8,8,0,0.0,1
Underfilled Job Title,Eq,startswith,Department Name,Department of Transportation,exact,1.0,8,8,0,0.0,1
Underfilled Job Title,Transportation,startswith,Department Name,Department of Transportation,exact,1.0,8,8,0,0.0,1
Underfilled Job Title,Eq,startswith,Division,Highway Services,exact,1.0,8,8,0,0.0,3
Underfilled Job Title,Transportation,startswith,Division,Transportation Technical Center,exact,1.0,8,8,0,0.0,1
Underfilled Job Title,Eq,startswith,Gender,M,exact,1.0,8,8,0,0.0,1
Underfilled Job Title,Eq,startswith,Position Title,Equipment Operator I,exact,1.0,8,8,0,0.0,3
Division,Ser,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Division,Rea,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Division,Cu,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Division,CI,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Division,Montgomery,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Division,Cable,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Division,Technical,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Division,Senior,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Division,Rea,startswith,Department,DGS,exact,1.0,7,7,0,0.0,1
Division,Property,startswith,Department,DGS,exact,1.0,7,7,0,0.0,1
Division,Clarksburg,startswith,Department,DLC,exact,1.0,7,7,0,0.0,1
Division,Financial,startswith,Department,DLC,exact,1.0,7,7,0,0.0,1
Division,Cu,startswith,Department,DPS,exact,1.0,7,7,0,0.0,1
Division,Technical,startswith,Department,HCA,exact,1.0,7,7,0,0.0,1
Division,Ser,startswith,Department,HHS,exact,1.0,7,7,0,0.0,1
Division,Ed,startswith,Department,HHS,exact,1.0,7,7,0,0.0,1
Division,Om,startswith,Department,HHS,exact,1.0,7,7,0,0.0,1
Division,Wom,startswith,Department,HHS,exact,1.0,7,7,0,0.0,1
Division,Montgomery,startswith,Department,HHS,exact,1.0,7,7,0,0.0,1
Division,Senior,startswith,Department,HHS,exact,1.0,7,7,0,0.0,1
Division,Cat,startswith,Department,LIB,exact,1.0,7,7,0,0.0,1
Division,Operating,startswith,Department,OMB,exact,1.0,7,7,0,0.0,1
Division,Rea,startswith,Department Name,Department of General Services,exact,1.0,7,7,0,0.0,1
Division,Property,startswith,Department Name,Department of General Services,exact,1.0,7,7,0,0.0,1
Division,Ser,startswith,Department Name,Department of Health and Human Services,exact,1.0,7,7,0,0.0,1
Division,Ed,startswith,Department Name,Department of Health and Human Services,exact,1.0,7,7,0,0.0,1
Division,Om,startswith,Department Name,Department of Health and Human Services,exact,1.0,7,7,0,0.0,1
Division,Wom,startswith,Department Name,Department of Health and Human Services,exact,1.0,7,7,0,0.0,1
Division,Montgomery,startswith,Department Name,Department of Health and Human Services,exact,1.0,7,7,0,0.0,1
Division,Senior,startswith,Department Name,Department of Health and Human Services,exact,1.0,7,7,0,0.0,1
Division,Technical,startswith,Department Name,Department of Housing and Community Affairs,exact,1.0,7,7,0,0.0,1
Division,Clarksburg,startswith,Department Name,Department of Liquor Control,exact,1.0,7,7,0,0.0,1
Division,Financial,startswith,Department Name,Department of Liquor Control,exact,1.0,7,7,0,0.0,1
Division,Cu,startswith,Department Name,Department of Permitting Services,exact,1.0,7,7,0,0.0,1
Division,Cat,startswith,Department Name,Department of Public Libraries,exact,1.0,7,7,0,0.0,1
Division,Operating,startswith,Department Name,Office of Management and Budget,exact,1.0,7,7,0,0.0,1
Division,Ed,startswith,Gender,F,exact,1.0,7,7,0,0.0,1
Division,Financial,startswith,Gender,F,exact,1.0,7,7,0,0.0,1
Division,Senior,startswith,Gender,F,exact,1.0,7,7,0,0.0,1
Full Name,Arg,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Aus,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Ay,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Can,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Dou,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Em,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Fin,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Geo,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Hai,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Hs,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Hut,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Jef,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Jos,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Joy,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Mea,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Og,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Ort,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Pel,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Poo,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Ray,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Sk,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Swa,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Tri,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Whe,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Wor,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Zu,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Berry,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Boyd,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Frazier,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Grant,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Kennedy,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Long,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Patterson,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Rowe,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Full Name,Arg,startswith,Gender,M,exact,1.0,7,7,0,0.0,1
Full Name,Hai,startswith,Gender,M,exact,1.0,7,7,0,0.0,1
Full Name,Patterson,startswith,Gender,M,exact,1.0,7,7,0,0.0,1
Position Title,Au,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Position Title,Paralegal,startswith,Department,CAT,exact,1.0,7,7,0,0.0,1
Position Title,Den,startswith,Department,HHS,exact,1.0,7,7,0,0.0,1
Position Title,Paralegal,startswith,Department Name,County Attorney's Office,exact,1.0,7,7,0,0.0,1
Position Title,Den,startswith,Department Name,Department of Health and Human Services,exact,1.0,7,7,0,0.0,1
Underfilled Job Title,Ad,startswith,Assignment Category,Fulltime-Regular,exact,1.0,7,7,0,0.0,1
Underfilled Job Title,As,startswith,Department,CAT,exact,1.0,7,7,0,0.0,3
Underfilled Job Title,As,startswith,Department Name,County Attorney's Office,exact,1.0,7,7,0,0.0,3
Underfilled Job Title,As,startswith,Position Title,Assistant County Attorney III,exact,1.0,7,7,0,0.0,3
Underfilled Job Title,Bus,startswith,Position Title,Senior Business Development Specialist,exact,1.0,7,7,0,0.0,2
Division,AD,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Division,Ren,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Division,Cap,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Division,Registration,startswith,Department,BOE,exact,1.0,6,6,0,0.0,1
Division,Polling,startswith,Department,BOE,exact,1.0,6,6,0,0.0,1
Division,Bur,startswith,Department,DLC,exact,1.0,6,6,0,0.0,1
Division,Mul,startswith,Department,HCA,exact,1.0,6,6,0,0.0,1
Division,Ren,startswith,Department,HHS,exact,1.0,6,6,0,0.0,1
Division,Poo,startswith,Department,LIB,exact,1.0,6,6,0,0.0,1
Division,Classification,startswith,Department,OHR,exact,1.0,6,6,0,0.0,1
Division,Records,startswith,Department,OHR,exact,1.0,6,6,0,0.0,1
Division,Cap,startswith,Department,OMB,exact,1.0,6,6,0,0.0,1
Division,Sou,startswith,Department,REC,exact,1.0,6,6,0,0.0,1
Division,Registration,startswith,Department Name,Board of Elections,exact,1.0,6,6,0,0.0,1
Division,Polling,startswith,Department Name,Board of Elections,exact,1.0,6,6,0,0.0,1
Division,Ren,startswith,Department Name,Department of Health and Human Services,exact,1.0,6,6,0,0.0,1
Division,Mul,startswith,Department Name,Department of Housing and Community Affairs,exact,1.0,6,6,0,0.0,1
Division,Bur,startswith,Department Name,Department of Liquor Control,exact,1.0,6,6,0,0.0,1
Division,Poo,startswith,Department Name,Department of Public Libraries,exact,1.0,6,6,0,0.0,1
Division,Sou,startswith,Department Name,Department of Recreation,exact,1.0,6,6,0,0.0,1
Division,Classification,startswith,Department Name,Office of Human Resources,exact,1.0,6,6,0,0.0,1
Division,Records,startswith,Department Name,Office of Human Resources,exact,1.0,6,6,0,0.0,1
Division,Cap,startswith,Department Name,Office of Management and Budget,exact,1.0,6,6,0,0.0,1
Division,Ren,startswith,Gender,F,exact,1.0,6,6,0,0.0,1
Division,Sou,startswith,Gender,F,exact,1.0,6,6,0,0.0,1
Division,Nursing,startswith,Position Title,Community Health Nurse II,exact,1.0,6,6,0,0.0,1
Full Name,Ald,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Bab,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Bet,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Big,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Boo,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Bos,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Cob,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Cum,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Dar,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Fog,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Fun,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Gh,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Gom,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Gor,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Got,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Gut,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Hop,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Hum,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Kee,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Kil,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Kor,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Lem,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Leo,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Loc,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Low,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Mag,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Max,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Pac,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Pag,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Rag,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Rea,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Rid,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Ril,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Rui,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Rut,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Ses,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Sl,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Sno,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Som,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Sut,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Tro,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Ver,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Wu,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Yi,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Zel,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Bennett,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Brennan,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Carroll,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Fernandez,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Ford,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Henderson,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Lyons,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Patel,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Reid,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Schmidt,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,Simmons,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Full Name,"Li,",startswith,Gender,F,exact,1.0,6,6,0,0.0,1
Full Name,Fog,startswith,Gender,M,exact,1.0,6,6,0,0.0,1
Full Name,Kee,startswith,Gender,M,exact,1.0,6,6,0,0.0,1
Full Name,Phi,startswith,Gender,M,exact,1.0,6,6,0,0.0,1
Full Name,Zel,startswith,Gender,M,exact,1.0,6,6,0,0.0,1
Full Name,Ford,startswith,Gender,M,exact,1.0,6,6,0,0.0,1
Full Name,Patel,startswith,Gender,M,exact,1.0,6,6,0,0.0,1
Position Title,Dr,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Position Title,Ref,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Position Title,Plu,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Position Title,V,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Position Title,Wat,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Position Title,Printing,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Position Title,Ref,startswith,Department,DEP,exact,1.0,6,6,0,0.0,1
Position Title,Wat,startswith,Department,DEP,exact,1.0,6,6,0,0.0,1
Position Title,Plu,startswith,Department,DGS,exact,1.0,6,6,0,0.0,1
Position Title,Printing,startswith,Department,DGS,exact,1.0,6,6,0,0.0,1
Position Title,Child,startswith,Department,HHS,exact,1.0,6,6,0,0.0,1
Position Title,Ref,startswith,Department Name,Department of Environmental Protection,exact,1.0,6,6,0,0.0,1
Position Title,Wat,startswith,Department Name,Department of Environmental Protection,exact,1.0,6,6,0,0.0,1
Position Title,Plu,startswith,Department Name,Department of General Services,exact,1.0,6,6,0,0.0,1
Position Title,Printing,startswith,Department Name,Department of General Services,exact,1.0,6,6,0,0.0,1
Position Title,Child,startswith,Department Name,Department of Health and Human Services,exact,1.0,6,6,0,0.0,1
Position Title,Printing,startswith,Division,Central Duplicating,exact,1.0,6,6,0,0.0,1
Position Title,Child,startswith,Division,Child Welfare Services,exact,1.0,6,6,0,0.0,1
Position Title,Plu,startswith,Division,Facilities Maintenance,exact,1.0,6,6,0,0.0,1
Position Title,Ref,startswith,Division,Solid Waste Services Operations,exact,1.0,6,6,0,0.0,2
Position Title,Wat,startswith,Division,Water Quality Monitoring and Planning,exact,1.0,6,6,0,0.0,2
Position Title,Child,startswith,Gender,F,exact,1.0,6,6,0,0.0,1
Position Title,Dr,startswith,Gender,M,exact,1.0,6,6,0,0.0,1
Position Title,Plu,startswith,Gender,M,exact,1.0,6,6,0,0.0,1
Position Title,Printing,startswith,Gender,M,exact,1.0,6,6,0,0.0,1
Underfilled Job Title,S,startswith,Assignment Category,Fulltime-Regular,exact,1.0,6,6,0,0.0,1
Underfilled Job Title,Th,startswith,Department,HHS,exact,1.0,6,6,0,0.0,1
Underfilled Job Title,Com,startswith,Department,HHS,exact,1.0,6,6,0,0.0,1
Underfilled Job Title,Th,startswith,Department Name,Department of Health and Human Services,exact,1.0,6,6,0,0.0,1
Underfilled Job Title,Com,startswith,Department Name,Department of Health and Human Services,exact,1.0,6,6,0,0.0,1
Underfilled Job Title,Th,startswith,Position Title,Therapist II,exact,1.0,6,6,0,0.0,3
Date First Hired,7/4,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Department,OI,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Department,I,startswith,Department Name,Office of Intergovernmental Relations Department,exact,1.0,5,5,0,0.0,3
Department,OI,startswith,Department Name,Office of the Inspector General,exact,1.0,5,5,0,0.0,2
Department,I,startswith,Gender,F,exact,1.0,5,5,0,0.0,3
Division,Ev,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Division,Gr,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Division,Fr,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Division,Ri,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Division,El,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Division,Ret,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Division,Log,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Division,Kennedy,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Division,El,startswith,Department,BOE,exact,1.0,5,5,0,0.0,1
Division,Gov,startswith,Department,CAT,exact,1.0,5,5,0,0.0,2
Division,Regional,startswith,Department,CEC,exact,1.0,5,5,0,0.0,1
Division,Construction,startswith,Department,DEP,exact,1.0,5,5,0,0.0,1
Division,Policy,startswith,Department,DHS,exact,1.0,5,5,0,0.0,1
Division,Ret,startswith,Department,DLC,exact,1.0,5,5,0,0.0,1
Division,Cabin,startswith,Department,DLC,exact,1.0,5,5,0,0.0,1
Division,Fr,startswith,Department,DTS,exact,1.0,5,5,0,0.0,1
Division,CIO,startswith,Department,DTS,exact,1.0,5,5,0,0.0,1
Division,Gr,startswith,Department,FIN,exact,1.0,5,5,0,0.0,1
Division,Treasury,startswith,Department,FIN,exact,1.0,5,5,0,0.0,1
Division,Log,startswith,Department,FRS,exact,1.0,5,5,0,0.0,1
Division,Autism,startswith,Department,HHS,exact,1.0,5,5,0,0.0,1
Division,Kennedy,startswith,Department,REC,exact,1.0,5,5,0,0.0,1
Division,Ev,startswith,Department,SHF,exact,1.0,5,5,0,0.0,1
Division,El,startswith,Department Name,Board of Elections,exact,1.0,5,5,0,0.0,1
Division,Regional,startswith,Department Name,Community Engagement Cluster,exact,1.0,5,5,0,0.0,1
Division,Gov,startswith,Department Name,County Attorney's Office,exact,1.0,5,5,0,0.0,2
Division,Construction,startswith,Department Name,Department of Environmental Protection,exact,1.0,5,5,0,0.0,1
Division,Gr,startswith,Department Name,Department of Finance,exact,1.0,5,5,0,0.0,1
Division,Treasury,startswith,Department Name,Department of Finance,exact,1.0,5,5,0,0.0,1
Division,Autism,startswith,Department Name,Department of Health and Human Services,exact,1.0,5,5,0,0.0,1
Division,Ret,startswith,Department Name,Department of Liquor Control,exact,1.0,5,5,0,0.0,1
Division,Cabin,startswith,Department Name,Department of Liquor Control,exact,1.0,5,5,0,0.0,1
Division,Kennedy,startswith,Department Name,Department of Recreation,exact,1.0,5,5,0,0.0,1
Division,Fr,startswith,Department Name,Department of Technology Services,exact,1.0,5,5,0,0.0,1
Division,CIO,startswith,Department Name,Department of Technology Services,exact,1.0,5,5,0,0.0,1
Division,Log,startswith,Department Name,Fire and Rescue Services,exact,1.0,5,5,0,0.0,1
Division,Policy,startswith,Department Name,Office of Emergency Management and Homeland Security,exact,1.0,5,5,0,0.0,1
Division,Ev,startswith,Department Name,Sheriff's Office,exact,1.0,5,5,0,0.0,1
Division,Autism,startswith,Gender,F,exact,1.0,5,5,0,0.0,1
Division,Administrative,startswith,Gender,F,exact,1.0,5,5,0,0.0,1
Division,Construction,startswith,Gender,M,exact,1.0,5,5,0,0.0,1
Division,Autism,startswith,Position Title,Program Specialist II,exact,1.0,5,5,0,0.0,1
Full Name,Alb,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Arn,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Av,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Bax,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Blo,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Bol,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Cli,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Cul,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,D',startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Dam,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Dol,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Eb,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Fle,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Glo,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
Full Name,Gue,startswith,Assignment Category,Fulltime-Regular,exact,1.0,5,5,0,0.0,1
